tipo,entidad,modelo,mes,parametro,categoria,peso_kpi2
sucursal,altabrisa,Cafetería,2026-09,"Contacto visual y saludo",bienvenida,4
sucursal,altabrisa,Cafetería,2026-09,"Agradecimiento y despedida",bienvenida,2
sucursal,altabrisa,Cafetería,2026-09,"Conocimiento de productos",producto_ventas,2
sucursal,altabrisa,Cafetería,2026-09,"Producto del mes",producto_ventas,3
sucursal,altabrisa,Cafetería,2026-09,"Venta cruzada",producto_ventas,5
sucursal,altabrisa,Cafetería,2026-09,"APP Cabaña Cash",producto_ventas,9
sucursal,altabrisa,Cafetería,2026-09,"Menciona promociones",producto_ventas,3
sucursal,altabrisa,Cafetería,2026-09,"Atención en mesa",atencion_mesa,2
sucursal,altabrisa,Cafetería,2026-09,"Entrega de ticket",atencion_mesa,3
sucursal,altabrisa,Cafetería,2026-09,"Tiempo de espera de atención",tiempos,3
sucursal,altabrisa,Cafetería,2026-09,"Tiempo de preparación",tiempos,4
sucursal,altabrisa,Cafetería,2026-09,"Cantidad de colaboradores",personal,1
sucursal,altabrisa,Cafetería,2026-09,"Apariencia del personal",personal,2
sucursal,altabrisa,Cafetería,2026-09,"Uso de tableta",personal,1
sucursal,altabrisa,Cafetería,2026-09,"Pin personalizador",personal,3
sucursal,altabrisa,Cafetería,2026-09,"Presentación del vaso",presentacion_producto,2
sucursal,altabrisa,Cafetería,2026-09,"Presentación del café",presentacion_producto,4
sucursal,altabrisa,Cafetería,2026-09,"Presentación de alimentos",presentacion_producto,4
sucursal,altabrisa,Cafetería,2026-09,"Estado de la panera",presentacion_producto,2
sucursal,altabrisa,Cafetería,2026-09,"Existencia",presentacion_producto,5
sucursal,altabrisa,Cafetería,2026-09,"Limpieza de fachada",exteriores,2
sucursal,altabrisa,Cafetería,2026-09,"Letrero/anuncio",exteriores,2
sucursal,altabrisa,Cafetería,2026-09,"Iluminación",interiores,2
sucursal,altabrisa,Cafetería,2026-09,"Área de mostrador",interiores,2
sucursal,altabrisa,Cafetería,2026-09,"Limpieza de mesas y sillas",interiores,2
